Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,85 years and over,333,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Female,All ages,1052,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arizona Total,All,All Ages,2443,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,45-54 years,17,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,55-64 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,65-74 years,41,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,75-84 years,54,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,85 years and over,31,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Male,All ages,192,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,Under 1 year,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,5-14 years,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,15-24 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,25-34 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,35-44 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,45-54 years,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,55-64 years,17,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,65-74 years,17,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,75-84 years,40,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,85 years and over,75,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Female,All ages,170,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas,Unknown,All ages,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,Arkansas Total,All,All Ages,362,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,Under 1 year,0,,,,,,,,,,,,,,,,,,,,,,,,
7/22/20,2/1/20,7/11/20,California,Male,1-4 years,0,,,,,,,,,,,,,,,,,,,,,,,,
