Population,Median Household Income,Per Capita Income,Zipcode,Population density
10600.0,101324.0,49298.0,01754,3.2487996083884695e-05
6068.0,132063.0,54512.0,01756,1.859784530537852e-05
28862.0,82260.0,37623.0,01757,8.845929650689434e-05
35763.0,109490.0,57945.0,01760,0.00010961020791961965
4301.0,180769.0,79952.0,01770,1.3182157656300761e-05
9486.0,147444.0,66904.0,01772,2.9073691589785868e-05
4775.0,137222.0,90195.0,01773,1.4634922764202774e-05
7098.0,145967.0,60306.0,01775,2.1754697755039015e-05
18940.0,176570.0,75699.0,01776,5.804930621026189e-05
13970.0,174107.0,80323.0,01778,4.281672691432728e-05
40350.0,88671.0,41720.0,01801,0.00012366892848912712
27059.0,105443.0,48663.0,01803,8.2933272267343e-05
35609.0,148125.0,66268.0,01810,0.00010913821250481604
33016.0,103728.0,41656.0,01821,0.00010119091308542803
25955.0,119387.0,51927.0,01824,7.95496168261535e-05
31101.0,88440.0,37188.0,01826,9.532161945329224e-05
3345.0,131250.0,54832.0,01827,1.0252108198169274e-05
26695.0,62194.0,31572.0,01830,8.181764674144357e-05
23419.0,66106.0,32485.0,01832,7.177701700834864e-05
8649.0,128885.0,52277.0,01833,2.6508365861275348e-05
6749.0,97109.0,40346.0,01834,2.0685045808503566e-05
13166.0,75115.0,36886.0,01835,4.035254306041753e-05
5560.0,22092.0,18315.0,01840,1.70408734175848e-05
48827.0,40230.0,17408.0,01841,0.00014965013064036206
25454.0,49443.0,22281.0,01843,7.801409927539632e-05
50019.0,74912.0,34390.0,01844,0.0001533034977471536
30589.0,109371.0,54587.0,01845,9.37523879443348e-05
16267.0,48331.0,21355.0,01850,4.9856814367599274e-05
30574.0,57029.0,25587.0,01851,9.370641436497082e-05
34939.0,54377.0,29089.0,01852,0.00010708472595989125
29561.0,42293.0,21273.0,01854,9.060166530525617e-05
6839.0,83508.0,44838.0,01860,2.096088728468749e-05
10223.0,97234.0,36545.0,01862,3.133252678920313e-05
9131.0,88542.0,47154.0,01863,2.7985650211504823e-05
15642.0,126818.0,53748.0,01864,4.794124856076645e-05
25048.0,112836.0,50776.0,01867,7.676974772727771e-05
30807.0,97853.0,43480.0,01876,9.442053729775809e-05
12345.0,109485.0,46319.0,01879,3.783625581656194e-05
26648.0,95954.0,47970.0,01880,8.167359619276974e-05
24194.0,141173.0,53692.0,01886,7.415231860882135e-05
23658.0,122813.0,47330.0,01887,7.250952937288152e-05
22677.0,159536.0,77433.0,01890,6.950285728247671e-05
1759.0,22788.0,18532.0,01901,5.391168406750299e-06
49172.0,43956.0,23167.0,01902,0.0001507075229657338
17142.0,85309.0,35302.0,01904,5.2538606497165225e-05
25465.0,60417.0,25769.0,01905,7.804781323359657e-05
28165.0,80253.0,37950.0,01906,8.632305751911437e-05
14950.0,113078.0,57652.0,01907,4.5820334099441145e-05
3495.0,90741.0,59385.0,01908,1.071184399180915e-05
17378.0,80721.0,40713.0,01913,5.32619241458253e-05
41731.0,79483.0,45358.0,01915,0.0001279015626959049
8270.0,174340.0,72832.0,01921,2.5346766756011925e-05
3276.0,90489.0,48117.0,01922,1.004062973309493e-05
27457.0,84842.0,41545.0,01923,8.415310457313415e-05
3713.0,113469.0,52604.0,01929,1.137999334523244e-05
30049.0,65377.0,41201.0,01930,9.209733908723124e-05
174.0,-666666666.0,12007.0,01937,5.332935206222582e-07
13901.0,90557.0,48927.0,01938,4.2605248449252934e-05
13484.0,119876.0,59658.0,01940,4.1327182942934076e-05
5370.0,124025.0,70012.0,01944,1.6458541412307623e-05
20488.0,115511.0,69202.0,01945,6.279377960062544e-05
9779.0,102604.0,45456.0,01949,2.9971708840029094e-05
17990.0,103220.0,61503.0,01950,5.5137646183876004e-05
3755.0,97083.0,59562.0,01951,1.1508719367451606e-05
9227.0,78355.0,39622.0,01952,2.8279881119434344e-05
52564.0,68214.0,37306.0,01960,0.00016110368171257688
7212.0,81681.0,47105.0,01966,2.210409695820532e-05
6298.0,114063.0,58904.0,01969,1.9302773522293e-05
43155.0,65495.0,36176.0,01970,0.00013226598783019282
8020.0,133333.0,49763.0,01982,2.4580540433278795e-05
6551.0,136812.0,50449.0,01983,2.0078194560898926e-05
5208.0,109712.0,48324.0,01984,1.5962026755176556e-05
4581.0,138403.0,59600.0,01985,1.4040331137761865e-05
17016.0,99569.0,47005.0,02019,5.215242843050773e-05
23134.0,105371.0,53620.0,02021,7.090351900043288e-05
8449.0,132204.0,76882.0,02025,2.5895384803088846e-05
25360.0,96868.0,51354.0,02026,7.772599817804866e-05
5987.0,224784.0,115686.0,02030,1.8349587976812987e-05
4455.0,130109.0,58558.0,02032,1.3654153071104369e-05
17535.0,98374.0,48318.0,02035,5.3743114276501704e-05
33022.0,115355.0,50626.0,02038,0.00010120930251717361
23298.0,133596.0,73963.0,02043,7.140616346814581e-05
10424.0,85573.0,52000.0,02045,3.194857275268057e-05
92.0,-666666666.0,30982.0,02047,2.8197128676579167e-07
23761.0,114720.0,48743.0,02048,7.282521461784756e-05
26152.0,95168.0,43855.0,02050,8.015340316846722e-05
12748.0,155039.0,67029.0,02052,3.907141264880774e-05
13244.0,119450.0,53330.0,02053,4.059160567311027e-05
8202.0,106336.0,47497.0,02054,2.5138353196228512e-05
11317.0,146607.0,47853.0,02056,3.468553317748331e-05
10987.0,151306.0,61522.0,02061,3.3674114431475576e-05
29201.0,90511.0,45020.0,02062,8.949829940052046e-05
18101.0,121231.0,60371.0,02066,5.547785067116951e-05
18377.0,138650.0,66261.0,02067,5.6323764531466885e-05
1696.0,109963.0,24449.0,02071,5.19807937342155e-06
28534.0,79421.0,37006.0,02072,8.745400757146847e-05
19378.0,109893.0,51652.0,02081,5.939173472769034e-05
15880.0,155887.0,71327.0,02090,4.8670696020008386e-05
11734.0,113017.0,50810.0,02093,3.596359868380217e-05
4082.0,136667.0,99533.0,02108,1.2510943397586539e-05
3853.0,143191.0,108280.0,02109,1.1809080085962992e-05
2449.0,116932.0,154315.0,02110,7.505953057493737e-06
7926.0,40870.0,52233.0,02111,2.429243933593114e-05
7531.0,100063.0,72526.0,02113,2.3081801746012795e-05
13516.0,95161.0,80949.0,02114,4.142525991224391e-05
29108.0,37340.0,25763.0,02115,8.921326320846373e-05
23118.0,105559.0,106606.0,02116,7.085448051577796e-05
27830.0,65250.0,65635.0,02118,8.529631424665198e-05
28199.0,30551.0,22636.0,02119,8.642726429900608e-05
14928.0,33727.0,19313.0,02120,4.575290618304063e-05
29919.0,30712.0,19430.0,02121,9.169890139941e-05
25059.0,60474.0,28906.0,02122,7.680346168547798e-05
55821.0,53174.0,27545.0,02124,0.0001710860782451441
34358.0,56318.0,31525.0,02125,0.00010530401598585945
