Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State,State Abbr,Lat,Lon
1162,1168,2020-04-15,6,0.0051,0,South Dakota,SD,44.2998,-99.4388
5703,5827,2020-04-15,124,0.0213,0,Tennessee,TN,35.7478,-86.6923
15532,15907,2020-04-15,375,0.0236,0,Texas,TX,31.0545,-97.5635
2528,2548,2020-04-15,20,0.0078,0,Utah,UT,40.1500,-111.8624
730,759,2020-04-15,29,0.0382,0,Vermont,VT,44.0459,-72.7107
6305,6500,2020-04-15,195,0.03,0,Virginia,VA,37.7693,-78.1700
10390,10942,2020-04-15,552,0.0504,0,Washington,WA,47.4009,-121.4905
692,702,2020-04-15,10,0.0142,0,West Virginia,WV,38.4912,-80.9545
3538,3721,2020-04-15,183,0.0492,0,Wisconsin,WI,44.2685,-89.6165
286,287,2020-04-15,1,0.0035,0,Wyoming,WY,42.7560,-107.3025
7005,7294,2020-05-01,289,0.0396,0,Alabama,AL,32.3182,-86.9023
355,364,2020-05-01,9,0.0247,0,Alaska,AK,61.3707,-152.4044
7639,7969,2020-05-01,330,0.0414,0,Arizona,AZ,33.7298,-111.4312
3273,3337,2020-05-01,64,0.0192,0,Arkansas,AR,34.9697,-92.3731
49900,52026,2020-05-01,2126,0.0409,0,California,CA,36.1162,-119.6816
14972,15793,2020-05-01,821,0.052,0,Colorado,CO,39.0598,-105.3111
26425,28764,2020-05-01,2339,0.0813,0,Connecticut,CT,41.5978,-72.7554
4759,4918,2020-05-01,159,0.0323,0,Delaware,DE,39.3185,-75.5071
33414,34728,2020-05-01,1314,0.0378,0,Florida,FL,27.7663,-81.6868
26320,27489,2020-05-01,1169,0.0425,0,Georgia,GA,33.0406,-83.6431
603,619,2020-05-01,16,0.0258,0,Hawaii,HI,21.0943,-157.4983
1952,2015,2020-05-01,63,0.0313,0,Idaho,ID,44.2405,-114.4788
53598,56055,2020-05-01,2457,0.0438,0,Illinois,IL,40.3495,-88.9861
17455,18630,2020-05-01,1175,0.0631,0,Indiana,IN,39.8494,-86.2583
7714,7884,2020-05-01,170,0.0216,0,Iowa,IA,42.0115,-93.2105
4494,4634,2020-05-01,140,0.0302,0,Kansas,KS,38.5266,-96.7265
4636,4882,2020-05-01,246,0.0504,0,Kentucky,KY,37.6681,-84.6701
26741,28711,2020-05-01,1970,0.0686,0,Louisiana,LA,31.1695,-91.8678
1068,1123,2020-05-01,55,0.049,0,Maine,ME,44.6939,-69.3819
22392,23472,2020-05-01,1080,0.046,0,Maryland,MD,39.0639,-76.8021
60595,64311,2020-05-01,3716,0.0578,0,Massachusetts,MA,42.2302,-71.5301
38490,42356,2020-05-01,3866,0.0913,0,Michigan,MI,43.3266,-84.5361
5360,5730,2020-05-01,370,0.0646,0,Minnesota,MN,45.6945,-93.9002
6931,7212,2020-05-01,281,0.039,0,Mississippi,MS,32.7416,-89.6787
7707,8067,2020-05-01,360,0.0446,0,Missouri,MO,38.4561,-92.2884
437,453,2020-05-01,16,0.0353,0,Montana,MT,46.9219,-110.4544
4935,5008,2020-05-01,73,0.0146,0,Nebraska,NE,41.1254,-98.2681
5002,5248,2020-05-01,246,0.0469,0,Nevada,NV,38.3135,-117.0554
2229,2310,2020-05-01,81,0.0351,0,New Hampshire,NH,43.4525,-71.5639
113652,121190,2020-05-01,7538,0.0622,0,New Jersey,NJ,40.2989,-74.5210
3382,3513,2020-05-01,131,0.0373,0,New Mexico,NM,34.8405,-106.2485
284275,308314,2020-05-01,24039,0.078,0,New York,NY,42.1657,-74.9481
10651,11070,2020-05-01,419,0.0379,0,North Carolina,NC,35.6301,-79.8064
1084,1107,2020-05-01,23,0.0208,0,North Dakota,ND,47.5289,-99.7840
17740,18743,2020-05-01,1003,0.0535,0,Ohio,OH,40.3888,-82.7649
3518,3748,2020-05-01,230,0.0614,0,Oklahoma,OK,35.5653,-96.9289
2475,2579,2020-05-01,104,0.0403,0,Oregon,OR,44.5720,-122.0709
46944,49579,2020-05-01,2635,0.0531,0,Pennsylvania,PA,40.5908,-77.2098
8683,8962,2020-05-01,279,0.0311,0,Rhode Island,RI,41.6809,-71.5118
6002,6258,2020-05-01,256,0.0409,0,South Carolina,SC,33.8569,-80.9450
2504,2525,2020-05-01,21,0.0083,0,South Dakota,SD,44.2998,-99.4388
11687,11891,2020-05-01,204,0.0172,0,Tennessee,TN,35.7478,-86.6923
28852,29692,2020-05-01,840,0.0283,0,Texas,TX,31.0545,-97.5635
4782,4828,2020-05-01,46,0.0095,0,Utah,UT,40.1500,-111.8624
829,879,2020-05-01,50,0.0569,0,Vermont,VT,44.0459,-72.7107
16321,16902,2020-05-01,581,0.0344,0,Virginia,VA,37.7693,-78.1700
13813,14637,2020-05-01,824,0.0563,0,Washington,WA,47.4009,-121.4905
1106,1152,2020-05-01,46,0.0399,0,West Virginia,WV,38.4912,-80.9545
6987,7314,2020-05-01,327,0.0447,0,Wisconsin,WI,44.2685,-89.6165
559,566,2020-05-01,7,0.0124,0,Wyoming,WY,42.7560,-107.3025
10890,11373,2020-05-15,483,0.0425,0,Alabama,AL,32.3182,-86.9023
378,388,2020-05-15,10,0.0258,0,Alaska,AK,61.3707,-152.4044
12518,13169,2020-05-15,651,0.0494,0,Arizona,AZ,33.7298,-111.4312
4365,4463,2020-05-15,98,0.022,0,Arkansas,AR,34.9697,-92.3731
73557,76693,2020-05-15,3136,0.0409,0,California,CA,36.1162,-119.6816
20082,21232,2020-05-15,1150,0.0542,0,Colorado,CO,39.0598,-105.3111
32800,36085,2020-05-15,3285,0.091,0,Connecticut,CT,41.5978,-72.7554
7102,7373,2020-05-15,271,0.0368,0,Delaware,DE,39.3185,-75.5071
42221,44138,2020-05-15,1917,0.0434,0,Florida,FL,27.7663,-81.6868
35184,36772,2020-05-15,1588,0.0432,0,Georgia,GA,33.0406,-83.6431
621,638,2020-05-15,17,0.0266,0,Hawaii,HI,21.0943,-157.4983
2279,2351,2020-05-15,72,0.0306,0,Idaho,ID,44.2405,-114.4788
86310,90369,2020-05-15,4059,0.0449,0,Illinois,IL,40.3495,-88.9861
24965,26656,2020-05-15,1691,0.0634,0,Indiana,IN,39.8494,-86.2583
13713,14049,2020-05-15,336,0.0239,0,Iowa,IA,42.0115,-93.2105
7693,7886,2020-05-15,193,0.0245,0,Kansas,KS,38.5266,-96.7265
7112,7444,2020-05-15,332,0.0446,0,Kentucky,KY,37.6681,-84.6701
31389,33837,2020-05-15,2448,0.0723,0,Louisiana,LA,31.1695,-91.8678
1534,1603,2020-05-15,69,0.043,0,Maine,ME,44.6939,-69.3819
35075,36986,2020-05-15,1911,0.0517,0,Maryland,MD,39.0639,-76.8021
77829,83421,2020-05-15,5592,0.067,0,Massachusetts,MA,42.2302,-71.5301
45254,50079,2020-05-15,4825,0.0963,0,Michigan,MI,43.3266,-84.5361
13548,14240,2020-05-15,692,0.0486,0,Minnesota,MN,45.6945,-93.9002
10308,10801,2020-05-15,493,0.0456,0,Mississippi,MS,32.7416,-89.6787
10185,10766,2020-05-15,581,0.054,0,Missouri,MO,38.4561,-92.2884
450,466,2020-05-15,16,0.0343,0,Montana,MT,46.9219,-110.4544
9497,9610,2020-05-15,113,0.0118,0,Nebraska,NE,41.1254,-98.2681
6390,6733,2020-05-15,343,0.0509,0,Nevada,NV,38.3135,-117.0554
3302,3453,2020-05-15,151,0.0437,0,New Hampshire,NH,43.4525,-71.5639
133836,143984,2020-05-15,10148,0.0705,0,New Jersey,NJ,40.2989,-74.5210
5409,5662,2020-05-15,253,0.0447,0,New Mexico,NM,34.8405,-106.2485
317935,345813,2020-05-15,27878,0.0806,0,New York,NY,42.1657,-74.9481
16827,17494,2020-05-15,667,0.0381,0,North Carolina,NC,35.6301,-79.8064
1719,1761,2020-05-15,42,0.0239,0,North Dakota,ND,47.5289,-99.7840
25373,26954,2020-05-15,1581,0.0587,0,Ohio,OH,40.3888,-82.7649
4802,5087,2020-05-15,285,0.056,0,Oklahoma,OK,35.5653,-96.9289
3404,3541,2020-05-15,137,0.0387,0,Oregon,OR,44.5720,-122.0709
59714,64136,2020-05-15,4422,0.0689,0,Pennsylvania,PA,40.5908,-77.2098
11740,12219,2020-05-15,479,0.0392,0,Rhode Island,RI,41.6809,-71.5118
8027,8407,2020-05-15,380,0.0452,0,South Carolina,SC,33.8569,-80.9450
3843,3887,2020-05-15,44,0.0113,0,South Dakota,SD,44.2998,-99.4388
16670,16960,2020-05-15,290,0.0171,0,Tennessee,TN,35.7478,-86.6923
44441,45721,2020-05-15,1280,0.028,0,Texas,TX,31.0545,-97.5635
6836,6913,2020-05-15,77,0.0111,0,Utah,UT,40.1500,-111.8624
880,933,2020-05-15,53,0.0568,0,Vermont,VT,44.0459,-72.7107
27694,28672,2020-05-15,978,0.0341,0,Virginia,VA,37.7693,-78.1700
16960,17951,2020-05-15,991,0.0552,0,Washington,WA,47.4009,-121.4905
1383,1447,2020-05-15,64,0.0442,0,West Virginia,WV,38.4912,-80.9545
11240,11685,2020-05-15,445,0.0381,0,Wisconsin,WI,44.2685,-89.6165
709,716,2020-05-15,7,0.0098,0,Wyoming,WY,42.7560,-107.3025
17984,18630,2020-06-01,646,0.0347,0,Alabama,AL,32.3182,-86.9023
456,466,2020-06-01,10,0.0215,0,Alaska,AK,61.3707,-152.4044
19211,20129,2020-06-01,918,0.0456,0,Arizona,AZ,33.7298,-111.4312
7310,7443,2020-06-01,133,0.0179,0,Arkansas,AR,34.9697,-92.3731
110516,114733,2020-06-01,4217,0.0368,0,California,CA,36.1162,-119.6816
25105,26563,2020-06-01,1458,0.0549,0,Colorado,CO,39.0598,-105.3111
38770,42740,2020-06-01,3970,0.0929,0,Connecticut,CT,41.5978,-72.7554
9237,9605,2020-06-01,368,0.0383,0,Delaware,DE,39.3185,-75.5071
54370,56830,2020-06-01,2460,0.0433,0,Florida,FL,27.7663,-81.6868
45808,47902,2020-06-01,2094,0.0437,0,Georgia,GA,33.0406,-83.6431
635,652,2020-06-01,17,0.0261,0,Hawaii,HI,21.0943,-157.4983
2757,2839,2020-06-01,82,0.0289,0,Idaho,ID,44.2405,-114.4788
115822,121234,2020-06-01,5412,0.0446,0,Illinois,IL,40.3495,-88.9861
32687,34830,2020-06-01,2143,0.0615,0,Indiana,IN,39.8494,-86.2583
19144,19699,2020-06-01,555,0.0282,0,Iowa,IA,42.0115,-93.2105
9703,9920,2020-06-01,217,0.0219,0,Kansas,KS,38.5266,-96.7265
9607,10046,2020-06-01,439,0.0437,0,Kentucky,KY,37.6681,-84.6701
37540,40341,2020-06-01,2801,0.0694,0,Louisiana,LA,31.1695,-91.8678
2260,2349,2020-06-01,89,0.0379,0,Maine,ME,44.6939,-69.3819
50775,53327,2020-06-01,2552,0.0479,0,Maryland,MD,39.0639,-76.8021
93770,100805,2020-06-01,7035,0.0698,0,Massachusetts,MA,42.2302,-71.5301
52016,57532,2020-06-01,5516,0.0959,0,Michigan,MI,43.3266,-84.5361
24148,25208,2020-06-01,1060,0.0421,0,Minnesota,MN,45.6945,-93.9002
15013,15752,2020-06-01,739,0.0469,0,Mississippi,MS,32.7416,-89.6787
12948,13724,2020-06-01,776,0.0565,0,Missouri,MO,38.4561,-92.2884
502,519,2020-06-01,17,0.0328,0,Montana,MT,46.9219,-110.4544
14175,14345,2020-06-01,170,0.0119,0,Nebraska,NE,41.1254,-98.2681
8285,8702,2020-06-01,417,0.0479,0,Nevada,NV,38.3135,-117.0554
4440,4685,2020-06-01,245,0.0523,0,New Hampshire,NH,43.4525,-71.5639
149195,160918,2020-06-01,11723,0.0729,0,New Jersey,NJ,40.2989,-74.5210
7438,7800,2020-06-01,362,0.0464,0,New Mexico,NM,34.8405,-106.2485
341794,371711,2020-06-01,29917,0.0805,0,New York,NY,42.1657,-74.9481
28644,29592,2020-06-01,948,0.032,0,North Carolina,NC,35.6301,-79.8064
2564,2625,2020-06-01,61,0.0232,0,North Dakota,ND,47.5289,-99.7840
33777,35984,2020-06-01,2207,0.0613,0,Ohio,OH,40.3888,-82.7649
6563,6913,2020-06-01,350,0.0506,0,Oklahoma,OK,35.5653,-96.9289
4148,4302,2020-06-01,154,0.0358,0,Oregon,OR,44.5720,-122.0709
71079,76646,2020-06-01,5567,0.0726,0,Pennsylvania,PA,40.5908,-77.2098
14271,14991,2020-06-01,720,0.048,0,Rhode Island,RI,41.6809,-71.5118
11648,12148,2020-06-01,500,0.0412,0,South Carolina,SC,33.8569,-80.9450
4972,5034,2020-06-01,62,0.0123,0,South Dakota,SD,44.2998,-99.4388
22202,22566,2020-06-01,364,0.0161,0,Tennessee,TN,35.7478,-86.6923
63910,65593,2020-06-01,1683,0.0257,0,Texas,TX,31.0545,-97.5635
9886,9999,2020-06-01,113,0.0113,0,Utah,UT,40.1500,-111.8624
928,983,2020-06-01,55,0.056,0,Vermont,VT,44.0459,-72.7107
44006,45398,2020-06-01,1392,0.0307,0,Virginia,VA,37.7693,-78.1700
20854,21977,2020-06-01,1123,0.0511,0,Washington,WA,47.4009,-121.4905
1952,2028,2020-06-01,76,0.0375,0,West Virginia,WV,38.4912,-80.9545
17948,18543,2020-06-01,595,0.0321,0,Wisconsin,WI,44.2685,-89.6165
893,910,2020-06-01,17,0.0187,0,Wyoming,WY,42.7560,-107.3025
25498,26272,2020-06-15,774,0.0295,0,Alabama,AL,32.3182,-86.9023
651,663,2020-06-15,12,0.0181,0,Alaska,AK,61.3707,-152.4044
35641,36844,2020-06-15,1203,0.0327,0,Arizona,AZ,33.7298,-111.4312
12735,12917,2020-06-15,182,0.0141,0,Arkansas,AR,34.9697,-92.3731
150612,155726,2020-06-15,5114,0.0328,0,California,CA,36.1162,-119.6816
27679,29284,2020-06-15,1605,0.0548,0,Colorado,CO,39.0598,-105.3111
41031,45235,2020-06-15,4204,0.0929,0,Connecticut,CT,41.5978,-72.7554
9917,10340,2020-06-15,423,0.0409,0,Delaware,DE,39.3185,-75.5071
74388,77326,2020-06-15,2938,0.038,0,Florida,FL,27.7663,-81.6868
55920,58414,2020-06-15,2494,0.0427,0,Georgia,GA,33.0406,-83.6431
719,736,2020-06-15,17,0.0231,0,Hawaii,HI,21.0943,-157.4983
3312,3399,2020-06-15,87,0.0256,0,Idaho,ID,44.2405,-114.4788
126690,133016,2020-06-15,6326,0.0476,0,Illinois,IL,40.3495,-88.9861
37997,40430,2020-06-15,2433,0.0602,0,Indiana,IN,39.8494,-86.2583
23424,24082,2020-06-15,658,0.0273,0,Iowa,IA,42.0115,-93.2105
