Zip Code,State,County,Median Household Income,Land Area in Square Miles
02116,MA,Suffolk County,87653.0,0.63
02118,MA,Suffolk County,54152.0,1.1
02119,MA,Suffolk County,27180.0,1.6
02120,MA,Suffolk County,35077.0,0.62
02121,MA,Suffolk County,28238.0,1.75
02122,MA,Suffolk County,50192.0,2.03
02124,MA,Suffolk County,48841.0,3.0
02125,MA,Suffolk County,45130.0,2.13
02126,MA,Suffolk County,45238.0,2.08
02127,MA,Suffolk County,68724.0,2.02
02128,MA,Suffolk County,48704.0,4.85
02129,MA,Suffolk County,86346.0,1.35
02130,MA,Suffolk County,75730.0,3.33
02131,MA,Suffolk County,66735.0,2.59
02132,MA,Suffolk County,83360.0,4.56
02134,MA,Suffolk County,37820.0,1.33
02135,MA,Suffolk County,48687.0,2.63
02136,MA,Suffolk County,58890.0,4.59
02138,MA,Middlesex County,75446.0,2.74
02139,MA,Middlesex County,71745.0,1.56
02140,MA,Middlesex County,71908.0,1.15
02141,MA,Middlesex County,64326.0,0.64
02142,MA,Middlesex County,100114.0,0.28
02143,MA,Middlesex County,68440.0,1.54
02144,MA,Middlesex County,78380.0,1.08
02145,MA,Middlesex County,55487.0,1.4
02148,MA,Middlesex County,53798.0,5.04
02149,MA,Middlesex County,49368.0,3.43
02150,MA,Suffolk County,47291.0,2.21
02151,MA,Suffolk County,51863.0,5.87
02152,MA,Suffolk County,64548.0,1.97
02155,MA,Middlesex County,73567.0,8.2
02163,MA,Suffolk County,43989.0,0.1
02169,MA,Norfolk County,58669.0,8.97
02170,MA,Norfolk County,66917.0,2.08
02171,MA,Norfolk County,64812.0,2.45
02176,MA,Middlesex County,85704.0,4.68
02180,MA,Middlesex County,76127.0,6.02
02184,MA,Norfolk County,81844.0,13.75
02186,MA,Norfolk County,111071.0,13.01
02188,MA,Norfolk County,68366.0,3.72
02189,MA,Norfolk County,60059.0,3.82
02190,MA,Norfolk County,77329.0,7.12
02191,MA,Norfolk County,65365.0,2.02
02199,MA,Suffolk County,109716.0,0.06
02203,MA,Suffolk County,,0.0
02210,MA,Suffolk County,110333.0,0.93
02215,MA,Suffolk County,35659.0,0.76
02301,MA,Plymouth County,44144.0,12.43
02302,MA,Plymouth County,61060.0,8.89
02322,MA,Norfolk County,73194.0,4.29
02324,MA,Plymouth County,87015.0,27.32
02330,MA,Plymouth County,72161.0,37.4
02332,MA,Plymouth County,118272.0,23.74
02333,MA,Plymouth County,85912.0,17.21
02338,MA,Plymouth County,67760.0,16.0
02339,MA,Plymouth County,99250.0,15.61
02341,MA,Plymouth County,92560.0,15.05
02343,MA,Norfolk County,62292.0,7.01
02346,MA,Plymouth County,77607.0,68.87
02347,MA,Plymouth County,87900.0,29.77
02351,MA,Plymouth County,78395.0,9.66
02356,MA,Bristol County,100429.0,13.7
02357,MA,Bristol County,,0.48
02359,MA,Plymouth County,86887.0,21.78
02360,MA,Plymouth County,76565.0,95.51
02364,MA,Plymouth County,82661.0,18.66
02366,MA,Plymouth County,,0.95
02367,MA,Plymouth County,93563.0,14.67
02368,MA,Norfolk County,62152.0,10.08
02370,MA,Plymouth County,66329.0,10.31
02375,MA,Bristol County,86689.0,14.57
02379,MA,Plymouth County,80347.0,15.32
02382,MA,Plymouth County,72462.0,6.94
02420,MA,Middlesex County,147924.0,6.58
02421,MA,Middlesex County,136250.0,9.85
02445,MA,Norfolk County,102087.0,2.6
02446,MA,Norfolk County,78814.0,1.29
02451,MA,Middlesex County,81334.0,5.52
02452,MA,Middlesex County,78349.0,3.7
02453,MA,Middlesex County,67382.0,3.5
02457,MA,Norfolk County,,0.16
02458,MA,Middlesex County,95216.0,2.0
02459,MA,Middlesex County,133801.0,5.0
02460,MA,Middlesex County,102276.0,1.34
02461,MA,Middlesex County,122283.0,1.45
02462,MA,Middlesex County,83438.0,0.53
02464,MA,Middlesex County,81771.0,0.56
02465,MA,Middlesex County,139763.0,2.24
02466,MA,Middlesex County,105893.0,1.79
02467,MA,Norfolk County,115493.0,4.87
02468,MA,Middlesex County,201731.0,1.48
02472,MA,Middlesex County,87775.0,4.03
02474,MA,Middlesex County,87225.0,3.05
02476,MA,Middlesex County,95305.0,2.09
02478,MA,Middlesex County,110633.0,4.65
02481,MA,Norfolk County,180607.0,5.64
02482,MA,Norfolk County,135089.0,4.21
02492,MA,Norfolk County,137839.0,9.53
02493,MA,Middlesex County,192563.0,16.82
02494,MA,Norfolk County,104543.0,2.77
02532,MA,Barnstable County,59250.0,14.25
02534,MA,Barnstable County,96053.0,2.29
02535,MA,Dukes County,67500.0,24.37
02536,MA,Barnstable County,61063.0,27.68
02537,MA,Barnstable County,79180.0,12.1
02538,MA,Plymouth County,48402.0,4.55
02539,MA,Dukes County,66711.0,26.81
02540,MA,Barnstable County,59858.0,10.71
02542,MA,Barnstable County,45107.0,30.72
02543,MA,Barnstable County,66250.0,9.93
02553,MA,Barnstable County,53125.0,0.25
02554,MA,Nantucket County,85835.0,39.13
02556,MA,Barnstable County,77661.0,3.87
02557,MA,Dukes County,69844.0,7.21
02558,MA,Plymouth County,49121.0,1.23
02559,MA,Barnstable County,59489.0,5.03
02561,MA,Barnstable County,73750.0,0.61
02562,MA,Barnstable County,62778.0,3.35
02563,MA,Barnstable County,79578.0,13.2
02564,MA,Nantucket County,59412.0,5.77
02568,MA,Dukes County,48935.0,6.67
02571,MA,Plymouth County,56250.0,19.9
02575,MA,Dukes County,70963.0,25.0
02576,MA,Plymouth County,79760.0,9.76
02584,MA,Nantucket County,,0.07
02601,MA,Barnstable County,39454.0,8.59
02630,MA,Barnstable County,61250.0,4.01
02631,MA,Barnstable County,61397.0,21.97
02632,MA,Barnstable County,67422.0,7.32
02633,MA,Barnstable County,66516.0,7.55
02635,MA,Barnstable County,78583.0,5.53
