Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
3538,3721,2020-04-15,183,0.0492,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
6987,7314,2020-05-01,327,0.0447,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
11240,11685,2020-05-15,445,0.0381,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
17948,18543,2020-06-01,595,0.0321,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
22238,22932,2020-06-15,694,0.0303,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
28413,29199,2020-07-01,786,0.0269,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
37900,38727,2020-07-15,827,0.0214,0,Wisconsin,WI,53619.25000000004,5776045.0,107.72334562680372,32027.559618735653,56928.0
3,3,2020-03-15,0,0.0,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
130,130,2020-04-01,0,0.0,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
286,287,2020-04-15,1,0.0035,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
559,566,2020-05-01,7,0.0124,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
709,716,2020-05-15,7,0.0098,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
893,910,2020-06-01,17,0.0187,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
1061,1079,2020-06-15,18,0.0167,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
1494,1514,2020-07-01,20,0.0132,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
1963,1985,2020-07-15,22,0.0111,0,Wyoming,WY,66007.26999999997,574919.0,8.709934526908933,32282.04867816162,57037.0
